masked_fivegram,training_document_frequency,training_document_pct,countries_present
of org amt to purchase,1905,0.144682,11
able to take care of,1904,0.144606,31
amt year old resident of,1904,0.144606,13
loc to purchase more cooking,1904,0.144606,3
she never had the opportunity,1904,0.144606,3
the previous loan was repaid,1904,0.144606,7
woman is name she is,1904,0.144606,4
amt years old with four,1903,0.14453,16
buy feed and vitamins for,1903,0.14453,3
is why he decided to,1901,0.144379,14
she is looking forward to,1901,0.144379,20
she is confident that she,1900,0.144303,16
asking for this loan to,1899,0.144227,23
for amt years name requested,1899,0.144227,9
for her food vending business,1898,0.144151,6
she plans to use to,1897,0.144075,22
items name would like to,1896,0.143999,3
with some financial help from,1894,0.143847,3
loan with org loc the,1893,0.143771,3
amt children she has been,1892,0.143695,27
for her business in the,1892,0.143695,27
to purchase more sacks of,1892,0.143695,12
years old single and has,1892,0.143695,29
grateful to kiva and org,1891,0.143619,7
other source of income is,1890,0.143543,9
her business her dream is,1889,0.143467,18
the amt org loan to,1889,0.143467,6
family and providing for their,1888,0.143391,5
half hours per week as,1888,0.143391,4
he is the only person,1888,0.143391,7
his day to day life,1887,0.143315,6
is amt year old businesswoman,1887,0.143315,26
use the amt org loan,1887,0.143315,6
and half hours per week,1886,0.143239,4
and providing for their basic,1886,0.143239,5
for loan from org loc,1886,0.143239,5
basic needs of her family,1885,0.143163,26
in the photo she is,1885,0.143163,26
years old with four children,1885,0.143163,15
with two children between the,1884,0.143087,5
had more profits from each,1883,0.143011,4
has been working in this,1883,0.143011,27
lives in loc she is,1883,0.143011,25
with charcoal energy expenses he,1883,0.143011,3
in her business with the,1882,0.142935,23
the future are to own,1882,0.142935,6
three children name is in,1882,0.142935,6
for your help and support,1881,0.14286,9
he is happy to have,1881,0.14286,8
has had more profits from,1880,0.142784,4
the representative of the group,1880,0.142784,9
this will help him to,1878,0.142632,31
continue to send her children,1877,0.142556,8
enable her to buy more,1877,0.142556,16
he has been in the,1877,0.142556,29
parent of three children name,1876,0.14248,6
believes that this loan will,1875,0.142404,14
this business for several years,1874,0.142328,18
of two children name works,1873,0.142252,9
amt years and has borrowed,1872,0.142176,3
assure her of bumper harvest,1871,0.1421,3
dream of saving enough money,1871,0.1421,6
for her family name has,1870,0.142024,26
she hopes to use the,1870,0.142024,20
that may be caused by,1870,0.142024,3
the mother of six children,1870,0.142024,29
children amt of whom are,1869,0.141948,24
would like to build house,1869,0.141948,17
improved his day to day,1868,0.141872,4
children aged amt and amt,1867,0.141796,25
he is applying for this,1867,0.141796,15
he will use the loan,1867,0.141796,31
name wishes to say thanks,1865,0.141644,3
bumper harvest and increased profits,1864,0.141568,5
in this business for nine,1864,0.141568,20
sell for her business she,1864,0.141568,4
name is widowed woman with,1863,0.141492,9
decided to take out loan,1862,0.141417,16
meet the increasing demand for,1862,0.141417,12
repaid successfully she will use,1861,0.141341,3
to expand her business name,1861,0.141341,29
she plans to increase her,1860,0.141265,28
to use the profits to,1860,0.141265,27
and that she will be,1858,0.141113,19
few years ago in amt,1858,0.141113,3
is hardworking businesswoman who sells,1858,0.141113,5
two and half hours per,1858,0.141113,5
will use the amt org,1858,0.141113,7
intends to use the loan,1857,0.141037,19
is resident of loc she,1857,0.141037,9
for their basic needs however,1856,0.140961,3
she hopes that she can,1856,0.140961,16
used to repay the loan,1856,0.140961,10
earns to support her family,1855,0.140885,10
asked for loan from org,1854,0.140809,13
her husband and children in,1854,0.140809,26
she lives in the loc,1854,0.140809,18
income of amt org she,1853,0.140733,5
very difficult for her to,1853,0.140733,8
at the market to earn,1852,0.140657,8
she plans to invest in,1851,0.140581,21
the needs of his family,1851,0.140581,27
classes from org my better,1850,0.140505,5
old woman living with her,1850,0.140505,17
and improve her family living,1848,0.140353,32
and to increase her business,1848,0.140353,15
at the end of the,1848,0.140353,31
be used to repay the,1847,0.140277,8
has three children two of,1847,0.140277,26
and decided to do so,1846,0.140201,3
who live in the same,1846,0.140201,12
with one child in school,1846,0.140201,11
and continue her children education,1845,0.140125,3
four children who are in,1845,0.140125,24
and started the business with,1844,0.140049,4
business she will repay the,1844,0.140049,8
contribute to the family income,1844,0.140049,15
hopes to grow her business,1844,0.140049,24
past three years name has,1844,0.140049,20
business name applied for loan,1842,0.139898,11
house in small village in,1842,0.139898,4
in amt bedroom house with,1842,0.139898,4
loan will help him to,1842,0.139898,28
cooking for her family and,1841,0.139822,3
he decided to join in,1841,0.139822,4
her profits she will be,1841,0.139822,17
of her family needs and,1840,0.139746,14
why he decided to join,1840,0.139746,3
income for her family name,1839,0.13967,20
kiva loan to buy seeds,1838,0.139594,9
loan with her loan group,1838,0.139594,3
to improve her business to,1838,0.139594,20
business and change her family,1836,0.139442,5
she is working hard to,1835,0.139366,19
applying for loan to buy,1834,0.13929,28
buy additional supplies such as,1834,0.13929,6
child she is very hard,1834,0.13929,6
has requested an amount of,1834,0.13929,4
is married woman she is,1834,0.13929,17
to buy additional supplies such,1834,0.13929,5
amt hours per day amt,1833,0.139214,4
hours per day amt days,1833,0.139214,4
the market to earn living,1833,0.139214,8
is the only source of,1832,0.139138,28
quality seeds will assure her,1832,0.139138,3
says that he is happy,1832,0.139138,5
repay the loan and improve,1831,0.139062,6
she is married and mother,1831,0.139062,31
amt years old name from,1830,0.138986,3
for her family expenses she,1830,0.138986,13
her business name requested this,1830,0.138986,3
that he is happy to,1830,0.138986,4
looks forward to brighter future,1829,0.13891,3
resides in the province of,1829,0.13891,3
right of the photo with,1829,0.13891,4
has improved his day to,1828,0.138834,4
therefore she has requested loan,1828,0.138834,9
wants to use this loan,1828,0.138834,27
forward to brighter future with,1827,0.138758,4
is amt years old widowed,1827,0.138758,30
requesting kiva loan in order,1827,0.138758,16
her business because it makes,1826,0.138682,3
business for four years now,1825,0.138606,14
kiva and its lenders for,1825,0.138606,11
of her children is still,1825,0.138606,15
partner org to pay for,1825,0.138606,4
with this loan he will,1825,0.138606,29
able to have access to,1824,0.13853,10
amt acres of land and,1824,0.13853,8
he wanted to be part,1824,0.13853,3
income of amt per month,1824,0.13853,5
secure her children future and,1824,0.13853,4
year old mother of four,1824,0.13853,30
amt org to purchase one,1823,0.138455,3
children with one child still,1823,0.138455,3
is her second loan with,1823,0.138455,19
is married woman with seven,1823,0.138455,10
to buy food for her,1823,0.138455,24
amt years this is her,1822,0.138379,17
and lives with her parents,1822,0.138379,26
provide better life for her,1822,0.138379,26
sugar soap and other groceries,1822,0.138379,4
to improve the conditions of,1822,0.138379,15
problem with her business she,1821,0.138303,3
to provide his family with,1821,0.138303,22
he is the father of,1820,0.138227,29
she wants to purchase more,1820,0.138227,19
the mother of one child,1820,0.138227,31
amt years old and two,1819,0.138151,10
is amt year old hardworking,1819,0.138151,25
org to purchase one more,1819,0.138151,3
and works hard to support,1818,0.138075,14
four of her children are,1817,0.137999,22
the support of lenders to,1815,0.137847,4
to meet the demand for,1815,0.137847,16
her family and contribute to,1813,0.137695,8
goods every day running her,1812,0.137619,5
fattening for amt years now,1811,0.137543,3
amt years now name would,1810,0.137467,4
family in the municipality of,1810,0.137467,3
with five children name works,1810,0.137467,3
are in school she works,1809,0.137391,13
this loan with her loan,1809,0.137391,4
has gathered much experience and,1808,0.137315,3
name story is one of,1808,0.137315,4
opportunity to attend school she,1808,0.137315,3
from loc loc he is,1807,0.137239,13
her of bumper harvest and,1807,0.137239,3
and she would like to,1806,0.137163,30
using the profits she makes,1806,0.137163,3
be able to save money,1805,0.137087,23
that decision because since he,1804,0.137011,3
to pay for farm inputs,1804,0.137011,8
her children school fees and,1803,0.136936,30
the presence of pests and,1803,0.136936,3
which is why he decided,1803,0.136936,9
better life for his family,1802,0.13686,21
is amt year old proud,1801,0.136784,8
old married and has six,1801,0.136784,28
blessed with four children she,1799,0.136632,12
will use to greatly improve,1799,0.136632,3
amt amt to amt amt,1798,0.136556,13
four children name is married,1797,0.13648,5
one child for the past,1797,0.13648,12
is married with six children,1796,0.136404,31
the father of amt children,1796,0.136404,25
amt year old man he,1795,0.136328,27
he has been member for,1795,0.136328,4
amt cows and amt sheep,1794,0.136252,3
in this business for several,1794,0.136252,16
and her family live in,1793,0.136176,26
their standards of living name,1793,0.136176,3
three children one of whom,1793,0.136176,25
will be assured of good,1793,0.136176,5
able to earn more income,1792,0.1361,15
amt years of age and,1792,0.1361,34
because she wanted to be,1790,0.135948,10
is known by her community,1790,0.135948,3
name age amt is married,1790,0.135948,22
name wants to expand her,1790,0.135948,27
who lives with her family,1790,0.135948,27
because since he first joined,1788,0.135796,3
support with her previous loan,1788,0.135796,8
is married woman who is,1787,0.13572,23
loan her dream is to,1787,0.13572,17
decision because since he first,1786,0.135644,3
be able to meet the,1785,0.135568,29
she is married and is,1785,0.135568,30
years and has borrowed amt,1785,0.135568,3
of farm inputs necessary for,1783,0.135417,3
and she will be able,1782,0.135341,31
cost of farm inputs necessary,1782,0.135341,3
high quality seeds fertilizers and,1782,0.135341,4
lack of fertilizer and good,1782,0.135341,3
with amt children all of,1782,0.135341,17
he has been engaged in,1781,0.135265,19
improve her quality of life,1781,0.135265,23
loan amounting to amt org,1780,0.135189,7
the year amt and has,1779,0.135113,6
has requested for loan of,1778,0.135037,6
two children still in school,1778,0.135037,6
has been involved in business,1777,0.134961,15
the kiva lenders for their,1777,0.134961,19
years old and two of,1777,0.134961,7
with one child she has,1776,0.134885,26
is the key to success,1775,0.134809,11
are currently attending school name,1774,0.134733,7
